Consecutivo,Tracker
12DTV0477L,12DTV0477LAAFG000001
12DJN0654J,12DJN0654JAAFG000002
12DTV0075R,12DTV0075RAAFG000003
12DPR2143M,12DPR2143MAAFG000004
12DJN2855U,12DJN2855UAAFG000005
12DTV0478K,12DTV0478KAAFG000006
12DPR0998U,12DPR0998UAAFG000007
12DJN5642M,12DJN5642MAAFG000008
12DPR2151V,12DPR2151VAAFG000009
12DPR2129T,12DPR2129TAAFG000010
12DPR2135D,12DPR2135DAAFG000011
12DJN2865A,12DJN2865AAAFG000012
12DJN2863C,12DJN2863CAAFG000013
12DTV0818S,12DTV0818SAAFG000014
12DPR2171I,12DPR2171IAAFG000015
12DPR2159N,12DPR2159NAAFG000016
12DJN3142D,12DJN3142DAAFG000017
12DPR0755Y,12DPR0755YAAFG000018
12DTV0583V,12DTV0583VAAFG000019
12DJN5772F,12DJN5772FAAFG000020
12DJN5768T,12DJN5768TAAFG000021
12DPR2173G,12DPR2173GAAFG000022
12DES0056X,12DES0056XAAFG000023
12DTV0632N,12DTV0632NAAFG000024
12DPR2181P,12DPR2181PAAFG000025
12DPR4676M,12DPR4676MAAFG000026
12DTV0318X,12DTV0318XAAFG000027
12DJN0131D,12DJN0131DAAFG000028
12DPR0626D,12DPR0626DAAFG000029
12DJN3544Y,12DJN3544YAAFG000030
12DJN3494G,12DJN3494GAAFG000031
12DST0109D,12DST0109DAAFG000032
12DJN5602L,12DJN5602LAAFG000033
12DPR2177C,12DPR2177CAAFG000034
12DJN0138X,12DJN0138XAAFG000035
12DPR2169U,12DPR2169UAAFG000036
12DPR1020W,12DPR1020WAAFG000037
12DPR2155R,12DPR2155RAAFG000038
12DPR2985D,12DPR2985DAAFG000039
12DPR2153T,12DPR2153TAAFG000040
12DST0010U,12DST0010UAAFG000041
12DTV0750B,12DTV0750BAAFG000042
12DST0010U,12DST0010UAAFG000043
12DPR2157P,12DPR2157PAAFG000044
12DPR2147I,12DPR2147IAAFG000045
12DJN3616A,12DJN3616AAAFG000046
12DTV0697X,12DTV0697XAAFG000047
12DJN2870M,12DJN2870MAAFG000048
12DJN2853W,12DJN2853WAAFG000049
12DBA0013C,12DBA0013CAAFG000050
12DPR2165Y,12DPR2165YAAFG000051
12DPR0432Q,12DPR0432QAAFG000052
12DST0145I,12DST0145IAAFG000053
12DTV0070W,12DTV0070WAAFG000054
12DPR0114D,12DPR0114DAAFG000055
12DES0233K,12DES0233KAAFG000056
12DPR0650D,12DPR0650DAAFG000057
12DPR0360N,12DPR0360NAAFG000058
12DJN2857S,12DJN2857SAAFG000059
30EPR3160Y,30EPR3160YAAFG000060
30EPR0439Y,30EPR0439YAAFG000061
30DST0074U,30DST0074UAAFG000062
30DJN1128M,30DJN1128MAAFG000063
30DES0021X,30DES0021XAAFG000064
30DJN2693O,30DJN2693OAAFG000065
30EPR3962O,30EPR3962OAAFG000066
30EPR3632X,30EPR3632XAAFG000067
30DJN0184Y,30DJN0184YAAFG000068
30DJN2821T,30DJN2821TAAFG000069
30DPR5223H,30DPR5223HAAFG000070
30DCT0162N,30DCT0162NAAFG000071
30DJN2714K,30DJN2714KAAFG000072
30ETH0027C,30ETH0027CAAFG000073
30EPR0442L,30EPR0442LAAFG000074
30EPR3397J,30EPR3397JAAFG000075
30EPR2830Q,30EPR2830QAAFG000076
30DPR0014U,30DPR0014UAAFG000077
30DPR5084X,30DPR5084XAAFG000078
30DCT0162N,30DCT0162NAAFG000079
30DJN0222K,30DJN0222KAAFG000080
30FUA0095E,30FUA0095EAAFG000081
30DES0021X,30DES0021XAAFG000082
30FUA0022M,30FUA0022MAAFG000083
30DJN0181A,30DJN0181AAAFG000084
30DPR3218I,30DPR3218IAAFG000085
30EPR0443K,30EPR0443KAAFG000086
30DPR4421A,30DPR4421AAAFG000087
30DPR0035G,30DPR0035GAAFG000088
30DTV1109N,30DTV1109NAAFG000089
30DPR2040F,30DPR2040FAAFG000090
30DJN0067I,30DJN0067IAAFG000091
30DJN1127N,30DJN1127NAAFG000092
30DJN0416Y,30DJN0416YAAFG000093
30DPR2035U,30DPR2035UAAFG000094
30DJN1070C,30DJN1070CAAFG000095
30EPR0444J,30EPR0444JAAFG000096
30DPR3205E,30DPR3205EAAFG000097
30DPR3076A,30DPR3076AAAFG000098
30DTV0298P,30DTV0298PAAFG000099
30DPR2033W,30DPR2033WAAFG000100
30DES0145F,30DES0145FAAFG000101
30DPR3132C,30DPR3132CAAFG000102
30EPR0440N,30EPR0440NAAFG000103
30ETV0004L,30ETV0004LAAFG000104
30DJN0413A,30DJN0413AAAFG000105
30DPR3242I,30DPR3242IAAFG000106
30DML0054D,30DML0054DAAFG000107
30DPR0234F,30DPR0234FAAFG000108
30DIT0004S,30DIT0004SAAFG000109
30ETH0277I,30ETH0277IAAFG000110
30DJN0783T,30DJN0783TAAFG000111
